dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
01;2020-S10;0;0;1929;0;;
01;2020-S10;A;0;351;0;;
01;2020-S10;B;0;751;0;;
01;2020-S10;C;0;371;0;;
01;2020-S10;D;0;172;0;;
01;2020-S10;E;0;284;0;;
01;2020-S11;0;29;1899;9;;
01;2020-S11;A;1;349;0;;
01;2020-S11;B;11;753;3;;
01;2020-S11;C;8;384;2;;
01;2020-S11;D;2;174;1;;
01;2020-S11;E;7;239;3;;
01;2020-S12;0;84;1196;35;;
01;2020-S12;A;2;185;0;;
01;2020-S12;B;27;445;3;;
01;2020-S12;C;31;271;15;;
01;2020-S12;D;14;104;12;;
01;2020-S12;E;10;191;5;;
01;2020-S13;0;232;1257;94;;
01;2020-S13;A;0;122;0;;
01;2020-S13;B;76;404;14;;
01;2020-S13;C;88;344;30;;
01;2020-S13;D;42;174;31;;
01;2020-S13;E;26;213;19;;
01;2020-S14;0;208;1238;89;;
01;2020-S14;A;5;129;1;;
01;2020-S14;B;70;438;10;;
01;2020-S14;C;66;313;25;;
01;2020-S14;D;23;154;14;;
01;2020-S14;E;44;204;39;;
02;2020-S10;0;57;2888;11;2;2376
02;2020-S10;A;5;669;4;0;643
02;2020-S10;B;31;1013;3;0;1048
02;2020-S10;C;19;528;2;1;368
02;2020-S10;D;0;251;0;1;115
02;2020-S10;E;2;427;2;0;159
02;2020-S11;0;96;2708;33;33;2631
02;2020-S11;A;0;676;0;5;748
02;2020-S11;B;35;933;3;16;1140
02;2020-S11;C;27;502;8;9;429
02;2020-S11;D;18;233;10;1;119
02;2020-S11;E;16;363;12;2;170
02;2020-S12;0;175;1619;75;119;1650
02;2020-S12;A;1;294;0;20;417
02;2020-S12;B;43;535;8;53;717
02;2020-S12;C;57;356;24;29;286
02;2020-S12;D;26;170;15;9;95
02;2020-S12;E;48;263;28;4;106
02;2020-S13;0;445;1620;149;199;1338
02;2020-S13;A;4;223;1;10;240
02;2020-S13;B;152;531;14;122;577
02;2020-S13;C;137;419;36;38;256
02;2020-S13;D;72;180;45;12;95
02;2020-S13;E;80;267;53;16;151
02;2020-S14;0;447;1585;134;116;1026
02;2020-S14;A;3;207;0;6;177
02;2020-S14;B;149;518;11;69;450
02;2020-S14;C;145;388;25;27;212
02;2020-S14;D;65;192;45;7;66
02;2020-S14;E;85;280;53;5;107
03;2020-S10;0;0;1195;0;;
03;2020-S10;A;0;182;0;;
03;2020-S10;B;0;436;0;;
03;2020-S10;C;0;228;0;;
03;2020-S10;D;0;107;0;;
03;2020-S10;E;0;242;0;;
03;2020-S11;0;30;1240;28;;
03;2020-S11;A;2;205;1;;
03;2020-S11;B;19;436;19;;
03;2020-S11;C;8;256;7;;
03;2020-S11;D;0;122;0;;
03;2020-S11;E;1;221;1;;
03;2020-S12;0;103;678;64;;
03;2020-S12;A;2;53;0;;
03;2020-S12;B;41;230;16;;
03;2020-S12;C;25;162;14;;
03;2020-S12;D;6;67;6;;
03;2020-S12;E;29;166;28;;
03;2020-S13;0;263;806;157;;
03;2020-S13;A;0;47;0;;
03;2020-S13;B;130;311;72;;
03;2020-S13;C;77;201;42;;
03;2020-S13;D;23;91;15;;
03;2020-S13;E;33;156;28;;
03;2020-S14;0;118;743;43;;
03;2020-S14;A;1;55;0;;
03;2020-S14;B;46;262;8;;
03;2020-S14;C;34;183;9;;
03;2020-S14;D;14;89;8;;
03;2020-S14;E;23;154;18;;
04;2020-S10;0;0;1213;0;;
04;2020-S10;A;0;236;0;;
04;2020-S10;B;0;406;0;;
04;2020-S10;C;0;262;0;;
04;2020-S10;D;0;116;0;;
04;2020-S10;E;0;193;0;;
04;2020-S11;0;8;1118;6;;
04;2020-S11;A;0;182;0;;
04;2020-S11;B;1;380;1;;
04;2020-S11;C;3;261;1;;
04;2020-S11;D;4;113;4;;
04;2020-S11;E;0;182;0;;
04;2020-S12;0;27;749;14;;
04;2020-S12;A;0;113;0;;
04;2020-S12;B;12;265;4;;
04;2020-S12;C;10;193;5;;
04;2020-S12;D;2;74;2;;
04;2020-S12;E;3;104;3;;
04;2020-S13;0;59;733;26;;
04;2020-S13;A;0;51;0;;
04;2020-S13;B;15;266;2;;
