fra,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
FR,2020-02-24,0,1.00,48476.00,,,1.00,25342.00,23129.00,,,,12071.00,,,5195.00,6819.00
FR,2020-02-24,A,,10459.00,,,,,,,,,3330.00,,,,
FR,2020-02-24,B,1.00,17610.00,,,,,,,,,5224.00,,,,
FR,2020-02-24,C,,9402.00,,,,,,,,,1948.00,,,,
FR,2020-02-24,D,,4210.00,,,,,,,,,556.00,,,,
FR,2020-02-24,E,,6794.00,,,,,,,,,956.00,,,,
FR,2020-02-25,0,1.00,42628.00,,,1.00,21775.00,20850.00,,,,10913.00,,,4642.00,6245.00
FR,2020-02-25,A,,9207.00,,,,,,,,,3108.00,,,,
FR,2020-02-25,B,,15451.00,,,,,,,,,4769.00,,,,
FR,2020-02-25,C,1.00,7984.00,,,,,,,,,1682.00,,,,
FR,2020-02-25,D,,3651.00,,,,,,,,,492.00,,,,
FR,2020-02-25,E,,6333.00,,,,,,,,,829.00,,,,
FR,2020-02-26,0,,42020.00,,,,21526.00,20493.00,,,,10815.00,,,4588.00,6199.00
FR,2020-02-26,A,,9113.00,,,,,,,,,2968.00,,,,
FR,2020-02-26,B,,15225.00,,,,,,,,,4739.00,,,,
FR,2020-02-26,C,,7980.00,,,,,,,,,1726.00,,,,
FR,2020-02-26,D,,3474.00,,,,,,,,,488.00,,,,
FR,2020-02-26,E,,6228.00,,,,,,,,,859.00,,,,
FR,2020-02-27,0,19.00,41680.00,1.00,11.00,8.00,21115.00,20559.00,1.00,,,10764.00,,,4508.00,6229.00
FR,2020-02-27,A,1.00,9060.00,,,,,,,,,2938.00,,,,
FR,2020-02-27,B,10.00,14974.00,,,,,,,,,4730.00,,,,
FR,2020-02-27,C,6.00,7840.00,,,,,,,,,1665.00,,,,
FR,2020-02-27,D,1.00,3435.00,,,,,,,,,503.00,,,,
FR,2020-02-27,E,1.00,6370.00,1.00,,,,,,,,896.00,,,,
FR,2020-02-28,0,31.00,41805.00,6.00,19.00,12.00,21176.00,20624.00,3.00,3.00,,10411.00,,,4465.00,5923.00
FR,2020-02-28,A,5.00,9021.00,,,,,,,,,3001.00,,,,
FR,2020-02-28,B,15.00,14634.00,4.00,,,,,,,,4404.00,,,,
FR,2020-02-28,C,9.00,8018.00,1.00,,,,,,,,1566.00,,,,
FR,2020-02-28,D,2.00,3728.00,1.00,,,,,,,,505.00,,,,
FR,2020-02-28,E,,6403.00,,,,,,,,,877.00,,,,
FR,2020-02-29,0,37.00,40796.00,5.00,21.00,16.00,20860.00,19928.00,5.00,,,13331.00,,,5729.00,7560.00
FR,2020-02-29,A,8.00,9174.00,1.00,,,,,,,,4270.00,,,,
FR,2020-02-29,B,15.00,14902.00,1.00,,,,,,,,5277.00,,,,
FR,2020-02-29,C,10.00,7616.00,1.00,,,,,,,,1907.00,,,,
FR,2020-02-29,D,3.00,3340.00,1.00,,,,,,,,629.00,,,,
FR,2020-02-29,E,1.00,5761.00,1.00,,,,,,,,1184.00,,,,
FR,2020-03-01,0,39.00,39145.00,21.00,19.00,20.00,20356.00,18781.00,9.00,12.00,,13019.00,,,5703.00,7293.00
FR,2020-03-01,A,5.00,8997.00,3.00,,,,,,,,4634.00,,,,
FR,2020-03-01,B,18.00,15541.00,7.00,,,,,,,,4976.00,,,,
FR,2020-03-01,C,6.00,6861.00,2.00,,,,,,,,1826.00,,,,
FR,2020-03-01,D,3.00,2758.00,2.00,,,,,,,,494.00,,,,
FR,2020-03-01,E,7.00,4987.00,7.00,,,,,,,,1014.00,,,,
FR,2020-03-02,0,111.00,44863.00,51.00,55.00,56.00,23151.00,21703.00,23.00,28.00,,12304.00,,,5207.00,7052.00
FR,2020-03-02,A,10.00,9345.00,6.00,,,,,,,,3159.00,,,,
FR,2020-03-02,B,38.00,16911.00,11.00,,,,,,,,5877.00,,,,
